Model,Vazifa,AUROC,AUPRC,Brier skori (kalibratsiya),LogLoss,Pozitiv ulushi,O‘rtacha risk (proba)
XGBoost (kalibratsiyalangan),12 oy ichida har qanday yetishmovchilik,0.8927481462503015,0.9276495098148521,0.12805897997999893,0.40553477143469946,0.6186666666666667,0.6163439144831305
LightGBM (kalibratsiyalangan),12 oy ichida har qanday yetishmovchilik,0.8912636393778635,0.9256360400390058,0.1294961042299637,0.4127831022672134,0.6186666666666667,0.6147106922198026
XGBoost (kalibratsiyalangan),90 kun ichida asorat,0.6767232767232767,0.08442509351846406,0.04420341706288243,0.18495913379037832,0.04666666666666667,0.042980530623994664
LightGBM (kalibratsiyalangan),90 kun ichida asorat,0.6597102897102898,0.07545803279078966,0.04468901297095157,0.18898187056510743,0.04666666666666667,0.04345863535711291
LightGBM (kalibratsiyalangan),30 kun ichida qayta yotqizish,0.6494293035173538,0.09803799087759442,0.04363129600994779,0.1855463028369908,0.046,0.054902771908696156
XGBoost (kalibratsiyalangan),30 kun ichida qayta yotqizish,0.6666464112458096,0.0855672600255527,0.043587669027345254,0.18385913774961918,0.046,0.054628457530738125
