model,task,auroc,auprc,brier,logloss,pos_rate,proba_mean
XGB_cal,any_def_12m,0.8927481462503015,0.9276495098148521,0.12805897997999893,0.40553477143469946,0.6186666666666667,0.6163439144831305
LGBM_cal,any_def_12m,0.8912636393778635,0.9256360400390058,0.1294961042299637,0.4127831022672134,0.6186666666666667,0.6147106922198026
XGB_cal,complication_90d,0.6767232767232767,0.08442509351846406,0.04420341706288243,0.18495913379037832,0.04666666666666667,0.042980530623994664
LGBM_cal,complication_90d,0.6597102897102898,0.07545803279078966,0.04468901297095157,0.18898187056510743,0.04666666666666667,0.04345863535711291
LGBM_cal,readmission_30d,0.6494293035173538,0.09803799087759442,0.04363129600994779,0.1855463028369908,0.046,0.054902771908696156
XGB_cal,readmission_30d,0.6666464112458096,0.0855672600255527,0.043587669027345254,0.18385913774961918,0.046,0.054628457530738125
